id,code_bc,name,short_name,bic,country:id,ispb_number,compe_member,acc_number_format
res_bank_188,371,WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.,WARREN CVMC LTDA,,base.br,92875780,0,%(acc_number)s
res_bank_189,373,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,UP.P SEP S.A.,,base.br,35977097,0,%(acc_number)s
res_bank_190,376,BANCO J.P. MORGAN S.A.,BCO J.P. MORGAN S.A.,CHASBRSP,base.br,33172537,1,%(acc_number)s
res_bank_191,381,BANCO MERCEDES-BENZ DO BRASIL S.A.,BCO MERCEDES-BENZ S.A.,,base.br,60814191,0,%(acc_number)s
res_bank_192,389,Banco Mercantil do Brasil S.A.,BCO MERCANTIL DO BRASIL S.A.,BMBRBRRB,base.br,17184037,1,%(acc_number)s
res_bank_193,394,Banco Bradesco Financiamentos S.A.,BCO BRADESCO FINANC. S.A.,,base.br,7207996,1,%(acc_number)s
res_bank_194,399,Kirton Bank S.A. - Banco Múltiplo,KIRTON BANK,BCBBBRPR,base.br,1701201,0,%(acc_number)s
res_bank_195,412,BANCO CAPITAL S.A.,BCO CAPITAL S.A.,,base.br,15173776,1,%(acc_number)s
res_bank_196,422,Banco Safra S.A.,BCO SAFRA S.A.,SAFRBRSP,base.br,58160789,1,%(acc_number)s
res_bank_197,456,Banco MUFG Brasil S.A.,BCO MUFG BRASIL S.A.,BOTKBRSX,base.br,60498557,1,%(acc_number)s
res_bank_198,464,Banco Sumitomo Mitsui Brasileiro S.A.,BCO SUMITOMO MITSUI BRASIL S.A.,SUBRBRSP,base.br,60518222,1,%(acc_number)s
res_bank_199,473,Banco Caixa Geral - Brasil S.A.,BCO CAIXA GERAL BRASIL S.A.,CGDIBRSP,base.br,33466988,1,%(acc_number)s
res_bank_200,477,Citibank N.A.,CITIBANK N.A.,CITIBRSP,base.br,33042953,1,%(acc_number)s
res_bank_201,479,Banco ItauBank S.A.,BCO ITAUBANK S.A.,FNBBBRB1,base.br,60394079,0,%(acc_number)s
res_bank_202,487,DEUTSCHE BANK S.A. - BANCO ALEMAO,DEUTSCHE BANK S.A.BCO ALEMAO,DEUTBRSP,base.br,62331228,1,%(acc_number)s
res_bank_203,488,"JPMorgan Chase Bank, National Association",JPMORGAN CHASE BANK,,base.br,46518205,0,%(acc_number)s
res_bank_204,492,ING Bank N.V.,ING BANK N.V.,INGBBRSP,base.br,49336860,0,%(acc_number)s
res_bank_205,495,Banco de La Provincia de Buenos Aires,BCO LA PROVINCIA B AIRES BCE,PRBAARBA,base.br,44189447,0,%(acc_number)s
res_bank_206,505,Banco Credit Suisse (Brasil) S.A.,BCO CREDIT SUISSE S.A.,BIGABRRJ,base.br,32062580,1,%(acc_number)s
res_bank_207,545,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A,SENSO CCVM S.A.,,base.br,17352220,0,%(acc_number)s
res_bank_208,600,Banco Luso Brasileiro S.A.,BCO LUSO BRASILEIRO S.A.,BLBCBRSP,base.br,59118133,1,%(acc_number)s
res_bank_209,604,Banco Industrial do Brasil S.A.,BCO INDUSTRIAL DO BRASIL S.A.,BIBRBRSP,base.br,31895683,1,%(acc_number)s
res_bank_210,610,Banco VR S.A.,BCO VR S.A.,,base.br,78626983,1,%(acc_number)s
res_bank_211,611,Banco Paulista S.A.,BCO PAULISTA S.A.,PAULBRSP,base.br,61820817,1,%(acc_number)s
res_bank_212,612,Banco Guanabara S.A.,BCO GUANABARA S.A.,,base.br,31880826,1,%(acc_number)s
res_bank_213,613,Omni Banco S.A.,OMNI BANCO S.A.,,base.br,60850229,1,%(acc_number)s
res_bank_214,623,Banco Pan S.A.,BANCO PAN,,base.br,59285411,1,%(acc_number)s
res_bank_215,626,BANCO FICSA S.A.,BCO FICSA S.A.,,base.br,61348538,1,%(acc_number)s
res_bank_216,630,Banco Smartbank S.A.,SMARTBANK,ICAPBRSP,base.br,58497702,0,%(acc_number)s
res_bank_217,633,Banco Rendimento S.A.,BCO RENDIMENTO S.A.,RENDBRSP,base.br,68900810,1,%(acc_number)s
res_bank_218,634,BANCO TRIANGULO S.A.,BCO TRIANGULO S.A.,,base.br,17351180,1,%(acc_number)s
res_bank_219,637,BANCO SOFISA S.A.,BCO SOFISA S.A.,BSBSBRSP,base.br,60889128,1,%(acc_number)s
res_bank_220,643,Banco Pine S.A.,BCO PINE S.A.,PBBRBRSP,base.br,62144175,1,%(acc_number)s
res_bank_221,652,Itaú Unibanco Holding S.A.,ITAÚ UNIBANCO HOLDING S.A.,,base.br,60872504,1,%(acc_number)s
res_bank_222,653,BANCO INDUSVAL S.A.,BCO INDUSVAL S.A.,IDVLBRSP,base.br,61024352,1,%(acc_number)s
res_bank_223,654,BANCO A.J. RENNER S.A.,BCO A.J. RENNER S.A.,,base.br,92874270,1,%(acc_number)s
res_bank_224,655,Banco Votorantim S.A.,BCO VOTORANTIM S.A.,BAVOBRSP,base.br,59588111,1,%(acc_number)s
res_bank_225,707,Banco Daycoval S.A.,BCO DAYCOVAL S.A,DAYCBRSP,base.br,62232889,1,%(acc_number)s
res_bank_226,712,Banco Ourinvest S.A.,BCO OURINVEST S.A.,,base.br,78632767,0,%(acc_number)s
res_bank_227,739,Banco Cetelem S.A.,BCO CETELEM S.A.,,base.br,558456,1,%(acc_number)s
res_bank_228,741,BANCO RIBEIRAO PRETO S.A.,BCO RIBEIRAO PRETO S.A.,,base.br,517645,1,%(acc_number)s
res_bank_229,743,Banco Semear S.A.,BANCO SEMEAR,,base.br,795423,1,%(acc_number)s
res_bank_230,745,Banco Citibank S.A.,BCO CITIBANK S.A.,,base.br,33479023,1,%(acc_number)s
res_bank_231,746,Banco Modal S.A.,BCO MODAL S.A.,,base.br,30723886,1,%(acc_number)s
res_bank_232,747,Banco Rabobank International Brasil S.A.,BCO RABOBANK INTL BRASIL S.A.,,base.br,1023570,1,%(acc_number)s
res_bank_233,748,BANCO COOPERATIVO SICREDI S.A.,BCO COOPERATIVO SICREDI S.A.,BCSIBRRS,base.br,1181521,1,%(acc_number)s
res_bank_234,751,Scotiabank Brasil S.A. Banco Múltiplo,SCOTIABANK BRASIL,,base.br,29030467,0,%(acc_number)s
